h3_res7,n,n_fatal,localidad,tasa_fatal,lat,lon
8766e0804ffffff,66,7,USME,10.61,4.469472016477851,-74.13571871937894
8766e0820ffffff,1588,49,USME,3.09,4.50016934278017,-74.11314661873682
8766e0821ffffff,163,4,USME,2.45,4.486627762003634,-74.09447842799632
8766e0823ffffff,153,10,USME,6.54,4.478051047619627,-74.11509672514438
8766e0824ffffff,1235,33,USME,2.67,4.522282942794843,-74.1111968073634
8766e0825ffffff,248,8,USME,3.23,4.508742849262032,-74.09253005629694
8766e0826ffffff,235,12,USME,5.11,4.5137103232028295,-74.1318153322514
8766e0900ffffff,3438,69,PUENTE ARANDA,2.01,4.602130514853125,-74.12401210004984
8766e0901ffffff,5049,92,ANTONIO NARINO,1.82,4.588595520322653,-74.10534914282371
8766e0902ffffff,3540,90,TUNJUELITO,2.54,4.593568409084882,-74.14462738136652
8766e0903ffffff,3725,76,RAFAEL URIBE URIBE,2.04,4.580032532562361,-74.12596246549965
8766e0904ffffff,4592,65,PUENTE ARANDA,1.42,4.624223778154351,-74.12206202956304
8766e0905ffffff,4560,75,PUENTE ARANDA,1.64,4.610690288152142,-74.10340051096267
8766e0906ffffff,4742,116,KENNEDY,2.45,4.6156648856875,-74.14267557744692
8766e0908ffffff,1812,40,SAN CRISTOBAL,2.21,4.552958927369007,-74.08863419721465
8766e090affffff,1024,36,RAFAEL URIBE URIBE,3.52,4.544391842495628,-74.10924729096169
8766e090bffffff,441,23,SAN CRISTOBAL,5.22,4.530853239438351,-74.09058197939054
8766e090cffffff,2607,71,SAN CRISTOBAL,2.72,4.575059907898333,-74.08668670970694
8766e090dffffff,60,0,SAN CRISTOBAL,0.0,4.561523683383182,-74.0680248046372
8766e090effffff,2037,41,RAFAEL URIBE URIBE,2.01,4.566496036722333,-74.10729806946927
8766e0910ffffff,3541,57,BOSA,1.61,4.598540105368757,-74.18391373226096
8766e0911ffffff,2320,58,CIUDAD BOLIVAR,2.5,4.585003973664736,-74.16524635056578
8766e0913ffffff,101,4,CIUDAD BOLIVAR,3.96,4.57643721141478,-74.18586900329535
8766e0914ffffff,3398,77,BOSA,2.27,4.62063828096444,-74.18195875684908
8766e0915ffffff,2770,77,KENNEDY,2.78,4.607103660486446,-74.16329281312987
8766e0916ffffff,1240,35,BOSA,2.82,4.612075604722873,-74.20258162163319
8766e0918ffffff,1514,41,CIUDAD BOLIVAR,2.71,4.549361309822359,-74.14853187487955
8766e0919ffffff,680,30,CIUDAD BOLIVAR,4.41,4.5358224315843625,-74.12986408153802
8766e091affffff,73,0,CIUDAD BOLIVAR,0.0,4.5407904597463675,-74.16915431183354
8766e091bffffff,120,7,CIUDAD BOLIVAR,5.83,4.527250697461378,-74.15048456459792
8766e091cffffff,3633,100,CIUDAD BOLIVAR,2.75,4.571467215414656,-74.1465794804899
8766e091dffffff,2840,87,TUNJUELITO,3.06,4.55792983642314,-74.12791312597491
8766e091effffff,335,10,CIUDAD BOLIVAR,2.99,4.562899571701387,-74.16720018344618
8766e0920ffffff,2851,25,TEUSAQUILLO,0.88,4.654865655960091,-74.0995041313446
8766e0921ffffff,4167,41,TEUSAQUILLO,0.98,4.641334553639023,-74.0808460145692
8766e0922ffffff,5121,52,FONTIBON,1.02,4.646312317332862,-74.12011225397687
8766e0923ffffff,3883,52,PUENTE ARANDA,1.34,4.632780335074212,-74.10145217382374
8766e0924ffffff,4589,73,ENGATIVA,1.59,4.676946245688964,-74.09755638346289
8766e0925ffffff,4327,53,BARRIOS UNIDOS,1.22,4.663416653163074,-74.07889970511066
8766e0926ffffff,4774,51,FONTIBON,1.07,4.6683961272633185,-74.11816277322897
8766e0928ffffff,2767,36,SANTA FE,1.3,4.605714496417465,-74.06413359178111
8766e092affffff,4822,110,LOS MARTIRES,2.28,4.597156175878457,-74.08473951680502
8766e092bffffff,528,13,SANTA FE,2.46,4.5836214471343215,-74.06607905102685
8766e092cffffff,3025,32,CHAPINERO,1.06,4.627802826097101,-74.06218842683765
8766e092effffff,6039,102,LOS MARTIRES,1.69,4.619247726169394,-74.08279261844655
8766e0930ffffff,2226,28,KENNEDY,1.26,4.651288868144264,-74.15938662434162
8766e0931ffffff,4099,50,KENNEDY,1.22,4.63775664008486,-74.14072406866872
8766e0932ffffff,1377,24,KENNEDY,1.74,4.642731733063142,-74.18000407699724
8766e0933ffffff,5695,95,KENNEDY,1.67,4.629198627024372,-74.16133957107597
8766e0934ffffff,1940,35,FONTIBON,1.8,4.673374378719731,-74.15743397286438
8766e0935ffffff,3716,83,FONTIBON,2.23,4.65984366714716,-74.13877285496947
8766e4210ffffff,259,5,USAQUEN,1.93,4.812865845504491,-74.02605106625685
8766e4212ffffff,441,9,USAQUEN,2.04,4.804338944140596,-74.0466376947006
8766e4213ffffff,169,5,USAQUEN,2.96,4.790818695388978,-74.02799214762597
8766e4280ffffff,1004,13,SUBA,1.29,4.756683972273623,-74.11036779737304
8766e4281ffffff,3312,55,SUBA,1.66,4.743159576842891,-74.09171490677929
8766e4282ffffff,352,9,SUBA,2.56,4.748144399725518,-74.13097094971448
8766e4283ffffff,1143,19,SUBA,1.66,4.734619130431182,-74.11231609939134
8766e4285ffffff,488,7,SUBA,1.43,4.765221190892501,-74.08976833666429
8766e4288ffffff,2782,28,SUBA,1.01,4.707566647916718,-74.0750079692008
8766e4289ffffff,4617,49,USAQUEN,1.06,4.694039446277636,-74.05635469719816
8766e428affffff,5261,62,ENGATIVA,1.18,4.699022099147829,-74.09560893011631
8766e428bffffff,3096,29,BARRIOS UNIDOS,0.94,4.685494019625145,-74.07695369000861
8766e428cffffff,2567,27,SUBA,1.05,4.729634532937133,-74.07306254262494
8766e428dffffff,3742,28,USAQUEN,0.75,4.716108846345268,-74.05441070884109
8766e428effffff,2015,49,SUBA,2.43,4.721093211231544,-74.09366177124255
8766e4298ffffff,2186,39,ENGATIVA,1.78,4.704003518786786,-74.13487131255832
8766e4299ffffff,3702,42,ENGATIVA,1.13,4.690475202828266,-74.116213587257
8766e429affffff,1466,27,FONTIBON,1.84,4.695455153632277,-74.15548161658185
8766e429bffffff,2387,17,FONTIBON,0.71,4.681925961752492,-74.13682193628681
8766e429cffffff,913,20,ENGATIVA,2.19,4.7260763331439,-74.13292098372166
8766e429dffffff,3660,49,ENGATIVA,1.34,4.712549538918123,-74.11426469599856
8766e429effffff,68,1,ENGATIVA,1.47,4.717531187771244,-74.15352955543166
8766e42a3ffffff,74,2,SUBA,2.7,4.787278048298909,-74.0878220608353
8766e42a8ffffff,2609,18,USAQUEN,0.69,4.760233405902764,-74.0505236140377
8766e42a9ffffff,1850,29,USAQUEN,1.57,4.746710113388989,-74.0318751911166
8766e42aaffffff,1477,21,SUBA,1.42,4.751697669593625,-74.07111741021879
8766e42abffffff,2724,24,USAQUEN,0.88,4.738173501249743,-74.052467014475
8766e42acffffff,898,7,USAQUEN,0.78,4.782288555223897,-74.04858050746695
8766e42adffffff,1176,12,USAQUEN,1.02,4.768766782994445,-74.02993352255848
8766e42aeffffff,53,1,SUBA,1.89,4.773756052801297,-74.06917257192009
8766e42d0ffffff,1312,8,CHAPINERO,0.61,4.65843596449532,-74.03964480284807
8766e42d2ffffff,5724,59,CHAPINERO,1.03,4.649886431045553,-74.06024355613418
8766e42d4ffffff,3032,19,USAQUEN,0.63,4.6805116121060815,-74.03770195916596
8766e42d5ffffff,87,5,CHAPINERO,5.75,4.666983151194629,-74.01904975903489
8766e42d6ffffff,5562,38,CHAPINERO,0.68,4.671965306143045,-74.05829897960844
8766e42f2ffffff,3324,19,USAQUEN,0.57,4.702582522857013,-74.03575940935815
8766e42f4ffffff,331,5,USAQUEN,1.51,4.733186181046501,-74.01322730708465
8766e42f6ffffff,2112,11,USAQUEN,0.52,4.724648691648561,-74.0338171533624
8766e4649ffffff,1204,41,BOSA,3.41,4.634172264717083,-74.20062520858285
8766e4669ffffff,615,21,FONTIBON,3.41,4.6869044462540375,-74.17609560372381
